Test: AND
A: 10000010001011010000011001011010, B: 10101011111111110100110010000010, R: xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx, Correct: 10000010001011010000010000000010, R@GHD
A: 11110111101110000110110100101111, B: 00010101011010101011110100111101, R: xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx, Correct: 00010101001010000010110100101101, R@GHD
A: 01001101010100110010101100000111, B: 00001100100100000101110100000001, R: xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx, Correct: 00001100000100000000100100000001, R@GHD
A: 10000111111110111011001101100111, B: 01101000011101000110010010110011, R: xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx, Correct: 00000000011100000010000000100011, R@GHD
A: 01000000110110100000010000101110, B: 10010000010010110011010101100100, R: xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx, Correct: 00000000010010100000010000100100, R@GHD
A: 01110100110001100110010100010101, B: 00110000110111100001001000001011, R: xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx, Correct: 00110000110001100000000000000001, R@GHD
A: 01001001111100011011011100111001, B: 00001010001011001110110111001111, R: xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx, Correct: 00001000001000001010010100001001, R@GHD
A: 01011011101110100001100111111000, B: 10010110111000101110101111011110, R: xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx, Correct: 00010010101000100000100111011000, R@GHD
A: 10010001101011110100100111111001, B: 01111101101010111111100010011100, R: xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx, Correct: 00010001101010110100100010011000, R@GHD
A: 00001000000110001101011111101111, B: 01011101011110010111010110000100, R: xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx, Correct: 00001000000110000101010110000100, R@GHD
A: 01110110111100101111000110111111, B: 00000011100011110011111000100010, R: xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx, Correct: 00000010100000100011000000100010, R@GHD
A: 00000010110001011111101110111110, B: 01010001011010011110010011000101, R: xxxx00xxxxxxxxxxxxxxxxxxxxxxxxxx, Correct: 00000000010000011110000010000100, R@GHD
A: 10110000000111101110001010001010, B: 10000111101110010010001110001110, R: x0000xxx00x0xx0xx00xxxxxxxxxxxxx, Correct: 10000000000110000010001010001010, WRONG
A: 01101110000111110101101100100001, B: 10011010010011011001011010100111, R: xxx0xxxxx0xxxxx00x00xxxxx0x0x0xx, Correct: 00001010000011010001001000100001, WRONG
A: 00000001100011111001101011011001, B: 10100100011111111000110101011000, R: 0000000x0x0x00xx00x0xx00000000xx, Correct: 00000000000011111000100001011000, WRONG
Test: XOR
A: 00000000001000111011110110010100, B: 01000110111011010100100000100011, R: 00011000101010000000100011001000, Correct: 01000110110011101111010110110111, WRONG
A: 01001001111100001011110000000010, B: 00101111101101100111010000001100, R: 00000000000010000100000110001000, Correct: 01100110010001101100100000001110, WRONG
A: 10100001010101111010100101111000, B: 11110001100010100011000110111010, R: 01000010001000001111000110011000, Correct: 01010000110111011001100011000010, WRONG
A: 00101100100111111111110111010001, B: 00110101001110111001000110001001, R: 00000000110000111111110000010000, Correct: 00011001101001000110110001011000, WRONG
A: 10001011100001010101000010011101, B: 01100010101110110010011111101011, R: 10000000000111000110000110000101, Correct: 11101001001111100111011101110110, WRONG
A: 00001010011001110001011100101100, B: 10010010100110111110011000001000, R: 01000011000010110000000010100110, Correct: 10011000111111001111000100100100, WRONG
A: 01010100101001011101010100000100, B: 01101101111100110110000101101100, R: 00000001000010010001001000001000, Correct: 00111001010101101011010001101000, WRONG
A: 11101100110110011101000001001100, B: 11000111010110010110000000001110, R: 00000001000011010000101101000000, Correct: 00101011100000001011000001000010, WRONG
A: 11010100100001110110000111001111, B: 11110011011011100001110101001101, R: 00000000000011011000100001001000, Correct: 00100111111010010111110010000010, WRONG
A: 01100101111100011110001101111100, B: 11010001101000001111100110111110, R: 00100001110011101000100001011000, Correct: 10110100010100010001101011000010, WRONG
A: 10011100011101000001011010011110, B: 10001110001110000100000111010100, R: 10100101011100000001111100001000, Correct: 00010010010011000101011101001010, WRONG
A: 10011011010000110010001011011010, B: 01101011101111010101100000011111, R: 10100101110101100001010110000000, Correct: 11110000111111100111101011000101, WRONG
A: 11101100100101101100110101010000, B: 10101010000111001101110110110000, R: 11101100010111000011000111000100, Correct: 01000110100010100001000011100000, WRONG
A: 10010100001010110011110111101001, B: 10011110111000000101001001100111, R: 00000101001010010011000011010000, Correct: 00001010110010110110111110001110, WRONG
A: 11010110110010110110100010111010, B: 10100000010100011010000011000100, R: 10111101001010100001000111000110, Correct: 01110110100110101100100001111110, WRONG
Test: OR
A: 01010100010000101001001000000100, B: 00101001001101001110011010010011, R: 11000110010110100001001000101001, Correct: 01111101011101101111011010010111, WRONG
A: 00000111000100011000100110000100, B: 11001111111100101010111101001010, R: 11000111001001001110001001110011, Correct: 11001111111100111010111111001110, WRONG
A: 11010101101010000010110011111001, B: 11000001110101100011011100111110, R: 11101111001011000011101111010011, Correct: 11010101111111100011111111111111, WRONG
A: 11111011011000100111101111001000, B: 01100000101101111000011100001110, R: 00111110011011111010100111110110, Correct: 11111011111101111111111111001110, WRONG
A: 01110111000001001101101011000011, B: 11001110101101010000110011010000, R: 11010111000100001100010100001100, Correct: 11111111101101011101111011010011, WRONG
A: 00111110011111101100011011100100, B: 11011100101010101101100101101010, R: 01101011101101100011010011110001, Correct: 11111110111111101101111111101110, WRONG
A: 10010100100111100111011011010101, B: 01010000000100100000111001000110, R: 00111100010101111010011110000111, Correct: 11010100100111100111111011010111, WRONG
